Student_Roll_no,Name,Gender,DOB,Father's_Name,Mother's_Name,School_code,English,English_Grade,Mathematics,Mathematics_Grade,Social_Science,Social_Science_Grade,Hindi,Hindi_Grade,Science,Science_Grade
3826,Timothy Mason,Female,02-10-2008,Harry Woods,Dawn Bradshaw,5040,34,D,32,D,95,A1,94,A1,32,D
3827,David Hayes,Male,14-04-2009,Matthew Smith,Julie Phillips,5040,41,C2,26,E1,56,C1,33,D,88,A2
3828,Rebecca Day,Female,25-12-2009,Daniel Kerr,Cynthia Thomas,5040,36,D,74,B1,35,D,61,B2,29,E1
3829,Dana Simmons,Female,18-10-2008,Javier Clark,Lisa Cooper,5040,83,A2,96,A1,86,A2,45,C2,45,C2
3830,Joshua Hardin,Male,17-12-2009,Alex Salazar,Debra Matthews,5040,83,A2,19,E2,21,E1,63,B2,69,B2
3831,Mrs. Patricia Mendoza,Male,30-04-2009,Mr. Juan Sutton,Sandra Riley,5040,75,B1,21,E1,49,C2,93,A1,19,E2
3832,Karen Martinez,Male,12-06-2009,Jacob Reese,Tiffany Alvarez,5040,27,E1,42,C2,67,B2,11,E2,27,E1
3833,Jose Reyes,Female,16-05-2009,James Watts,Kathy Ali,5040,14,E2,38,D,16,E2,68,B2,30,E1
3834,Emily Mcmillan,Male,08-03-2008,Michael Pennington,Jade Howard,5040,69,B2,18,E2,65,B2,53,C1,42,C2
3835,Micheal Fox,Male,15-11-2008,Steven Hudson,Karen Smith,5040,88,A2,82,A2,95,A1,40,D,18,E2
3836,Bonnie Cochran,Female,11-08-2008,Daniel Avila,Angela Holland,5040,28,E1,23,E1,36,D,92,A1,45,C2
3837,Janet Alvarado,Female,25-07-2008,Gabriel Pearson,Nicole Love,5040,43,C2,89,A2,75,B1,80,B1,13,E2
3838,Craig Johnson,Male,05-05-2008,John Vazquez,Latoya Dudley,5040,55,C1,42,C2,90,A2,80,B1,42,C2
3839,Nicole Phillips,Male,11-03-2009,James Weiss,Lindsey Moreno,5040,72,B1,50,C2,79,B1,88,A2,19,E2
3840,Bryan Martinez,Female,18-11-2008,Christopher Anderson,Catherine Smith,5040,52,C1,86,A2,21,E1,29,E1,88,A2
3841,Sherry Wilkins,Male,15-07-2009,Matthew Mccall,Nicole Mcguire,5040,35,D,56,C1,90,A2,62,B2,15,E2
3842,Lucas Small,Female,21-09-2009,John White,Christine Perry,5040,46,C2,60,C1,52,C1,96,A1,12,E2
3843,Eddie Garner,Male,29-02-2008,Gregory Mcguire,Rachel Arnold,5040,19,E2,93,A1,55,C1,58,C1,72,B1
3844,Amber Tucker,Male,17-10-2008,Dylan Fitzgerald,Melanie Sanchez,5040,59,C1,86,A2,65,B2,31,D,32,D
3845,Brian Chan,Female,22-10-2009,Dylan Diaz,Ashley Duncan,5040,83,A2,79,B1,46,C2,74,B1,47,C2
3846,Monique Webb,Male,13-10-2008,William Watson,Nancy Murphy,5040,19,E2,34,D,66,B2,58,C1,59,C1
3847,Stephanie Bishop,Female,22-05-2009,Ricky Brown,Lynn Weaver,5040,47,C2,26,E1,34,D,71,B1,37,D
3848,Sean Galvan,Female,04-01-2009,Shawn Hart,Holly Silva,5040,54,C1,22,E1,99,A1,88,A2,69,B2
3849,Hannah Blackwell,Male,21-05-2008,Brent Gutierrez,Casey Perez,5040,27,E1,67,B2,67,B2,30,E1,46,C2
3850,Sarah Spencer,Male,22-07-2009,Kenneth Ward,Gloria Harper,5040,34,D,47,C2,77,B1,73,B1,23,E1
3851,Andrew Lee,Female,12-03-2008,Donald Garcia,Ashley Jones,5040,40,D,50,C2,71,B1,61,B2,16,E2
3852,Karen Miller,Female,16-05-2008,David Hughes,Christy Mitchell,5040,45,C2,18,E2,71,B1,25,E1,52,C1
3853,David Taylor,Male,21-11-2009,David Thomas,Renee Hamilton,5040,15,E2,70,B2,56,C1,89,A2,65,B2
3854,Brittany Holloway,Female,30-05-2009,Angel Sullivan,Kimberly Johnson,5040,68,B2,11,E2,53,C1,32,D,95,A1
3855,Jeffrey Anderson,Female,25-11-2008,Taylor Woods,Joan Stuart,5040,76,B1,40,D,42,C2,33,D,72,B1
3856,James James,Female,12-09-2009,Donald Dickerson,Kathryn Schmidt,5040,77,B1,75,B1,53,C1,28,E1,59,C1
3857,Paul Russell,Male,20-12-2008,Ian Patel,Holly Maxwell,5040,62,B2,15,E2,12,E2,85,A2,82,A2
3858,Anna Brandt,Female,24-11-2009,Roger Taylor,Jennifer Williams,5040,27,E1,38,D,50,C2,74,B1,23,E1
3859,Shannon Campbell,Female,27-05-2008,Thomas Powell,Marcia Joyce PhD,5040,27,E1,82,A2,20,E2,82,A2,59,C1
3860,Kelli Clay,Male,13-04-2009,Timothy Hopkins,Crystal Davis,5040,15,E2,93,A1,84,A2,18,E2,87,A2
3861,Susan Garrett,Male,27-07-2009,Joel Thomas,Jennifer Mcguire,5040,98,A1,48,C2,68,B2,81,A2,67,B2
3862,Amy Hobbs,Male,20-06-2009,Shawn Daniel,Nicole Jones,5040,56,C1,60,C1,77,B1,86,A2,88,A2
3863,Angelica Tran,Female,03-05-2008,Kevin Yoder,Kathryn Stewart,5040,86,A2,44,C2,89,A2,40,D,49,C2
3864,Bonnie Dyer,Female,23-07-2009,Paul Porter,Vanessa Moore,5040,38,D,34,D,62,B2,98,A1,46,C2
3865,Jennifer Bennett,Male,15-06-2009,Christopher Casey,Catherine Vincent,5040,79,B1,12,E2,75,B1,22,E1,15,E2
3866,Stephanie Schultz,Male,17-05-2008,Derek Ross,Michelle Williams,5040,58,C1,60,C1,45,C2,37,D,63,B2
3867,Jesus Newman,Female,18-02-2008,Ronald Brown,Samantha Larson,5040,11,E2,74,B1,63,B2,97,A1,87,A2
3868,Dr. Matthew Chavez MD,Female,05-04-2008,William Baker,Jennifer Baker,5040,24,E1,96,A1,28,E1,79,B1,93,A1
3869,Cheyenne Booth,Male,25-07-2009,Charles Parker,Lindsay Barry,5040,63,B2,17,E2,77,B1,23,E1,24,E1
3870,Jessica Cohen,Male,05-10-2008,Jason Hughes,Ashley Wilson,5040,14,E2,90,A2,44,C2,22,E1,58,C1
3871,Mark Jones,Male,17-02-2009,Robert Escobar,Jessica Allen,5040,83,A2,34,D,45,C2,13,E2,73,B1
3872,Erin Burgess,Male,10-02-2009,Alexander Booker,Nicole Grant,5040,16,E2,83,A2,94,A1,28,E1,23,E1
3873,Curtis Horton,Female,16-11-2009,Matthew Frost,Rebecca Williams,5040,41,C2,88,A2,48,C2,47,C2,71,B1
3874,Bradley Wolf,Female,11-12-2009,Joseph Mitchell,Sally Sawyer,5040,97,A1,76,B1,17,E2,17,E2,50,C2
3875,Frank Skinner,Male,18-11-2009,Nicholas Thompson,Lisa Griffin,5040,17,E2,44,C2,76,B1,70,B2,45,C2
3876,Amber Garcia,Female,19-02-2008,Richard Lopez,Connie Hood,5040,96,A1,83,A2,12,E2,13,E2,71,B1
3877,Megan Mckinney,Female,30-11-2009,Justin Moyer,Debra Ellis,5040,27,E1,45,C2,10,E2,15,E2,62,B2
3878,Melissa Johnson,Male,02-12-2009,John Gay,Margaret Johnston,5040,94,A1,83,A2,24,E1,46,C2,96,A1
3879,Jordan Parker,Male,07-06-2008,William Scott,Amber Jacobs,5040,18,E2,41,C2,49,C2,43,C2,27,E1
3880,William Moore,Female,11-02-2009,Isaiah Callahan,Heather Bryant,5040,41,C2,20,E2,52,C1,29,E1,45,C2
3881,Thomas Paul,Female,09-07-2009,Thomas Mercer,Kelly Barron,5040,11,E2,54,C1,31,D,68,B2,82,A2
3882,Gina Anderson,Female,11-05-2008,Christopher Boyd,Shelley Smith,5040,44,C2,57,C1,89,A2,17,E2,12,E2
3883,Lisa Eaton,Female,18-02-2008,Jesse Little,Rose Burton,5040,13,E2,82,A2,33,D,40,D,29,E1
3884,Kelsey Campbell,Female,27-08-2008,Randy Vazquez,Robin Jackson,5040,89,A2,60,C1,56,C1,34,D,22,E1
3885,Donald Ward,Male,11-09-2008,Craig Sandoval,Carrie Goodwin,5040,27,E1,41,C2,19,E2,66,B2,51,C1
3886,Austin Cunningham,Female,01-07-2008,Jerry Richardson,Melissa Hughes,5040,97,A1,28,E1,36,D,88,A2,57,C1
3887,Elizabeth Serrano,Female,13-06-2008,Jonathan Wright MD,Lauren Clark,5040,22,E1,23,E1,67,B2,42,C2,44,C2
3888,Lori Wilson,Male,21-08-2009,Carl Wilson,Karen Parker,5040,12,E2,23,E1,85,A2,18,E2,81,A2
3889,Anna Harris,Male,13-10-2008,Jeff Pace,Marissa Sanford,5040,34,D,59,C1,86,A2,16,E2,86,A2
3890,Andrew Green,Female,18-10-2008,James Alexander,Jennifer Hardin,5040,74,B1,86,A2,86,A2,44,C2,42,C2
3891,Sarah Walker,Female,06-12-2009,Mr. Wayne Brooks,Mariah Durham,5040,34,D,23,E1,59,C1,84,A2,86,A2
3892,Blake Williams,Male,09-03-2009,Gregory Smith,Tracy Powell,5040,55,C1,40,D,58,C1,41,C2,65,B2
3893,Christopher Zimmerman,Female,21-01-2008,Andre Mullen,Ashley Thomas,5040,84,A2,31,D,56,C1,73,B1,13,E2
3894,Lindsey Bishop,Female,01-09-2009,Matthew Brown,Christine Sanchez,5040,32,D,16,E2,85,A2,69,B2,41,C2
3895,Mary Johnson,Male,05-12-2009,Dr. Edward Brown,April Williams,5040,23,E1,12,E2,53,C1,52,C1,39,D
3896,Joseph Galloway,Female,15-05-2009,Cory Dunn,Ann Williams,5040,89,A2,33,D,89,A2,50,C2,79,B1
3897,Jessica Gilbert,Male,18-11-2009,Dale Sanchez,Sara Pham,5040,46,C2,68,B2,52,C1,54,C1,84,A2
3898,Cole Waters,Male,28-03-2009,Brian Thomas,Patricia Warren,5040,63,B2,58,C1,51,C1,20,E2,60,C1
3899,Shannon Ellis,Male,21-11-2008,Eric Graham,Lisa Russell,5040,37,D,31,D,40,D,54,C1,36,D
3900,Diana Williams,Female,28-01-2008,Brandon Barnett,Katie Richardson,5040,67,B2,89,A2,13,E2,88,A2,64,B2
3901,Mark Mitchell,Male,13-06-2009,Michael Kidd,Kaitlyn Underwood,5040,70,B2,40,D,32,D,87,A2,87,A2
3902,Brian Bailey,Male,27-08-2008,Tommy Munoz,Jennifer Wallace,5040,95,A1,31,D,15,E2,75,B1,54,C1
3903,Patricia Ibarra,Male,13-06-2009,Martin Murray,Nicole Mcintyre,5040,52,C1,50,C2,21,E1,79,B1,91,A1
3904,Brittany Richmond,Female,09-09-2008,Cody Robinson,Gabrielle Vang,5040,40,D,73,B1,76,B1,50,C2,87,A2
3905,Traci Glass,Male,27-06-2009,Martin Dudley,Erin Spencer,5040,69,B2,35,D,93,A1,94,A1,29,E1
3906,Michelle Snow,Male,16-12-2008,Russell Walker,Tiffany Chavez,5040,12,E2,60,C1,49,C2,38,D,98,A1
3907,Jonathan Norton,Female,17-03-2008,Christian Martin,Sarah Baxter,5040,83,A2,30,E1,26,E1,82,A2,76,B1
3908,Stacey Perry,Female,29-10-2009,Timothy Peters,Megan Campos,5040,99,A1,64,B2,57,C1,72,B1,95,A1
3909,Suzanne Johnson,Male,23-11-2009,James Schroeder,Frances Ferrell,5040,38,D,70,B2,51,C1,78,B1,90,A2
3910,Tracy Rodriguez,Female,20-02-2008,Tommy Parker,Karina Garcia,5040,49,C2,28,E1,25,E1,34,D,40,D
3911,Jacob Colon,Female,01-09-2008,Jason Avila,Erica Flynn,5040,50,C2,41,C2,94,A1,24,E1,53,C1
3912,Julie Stone,Female,01-10-2008,Michael Bates,Jasmine Marshall,5040,96,A1,79,B1,58,C1,54,C1,41,C2
3913,Brian Robbins,Female,01-12-2009,Ryan Mcclure,Heather Gilbert,5040,35,D,28,E1,37,D,46,C2,94,A1
3914,Jonathan Knox,Female,31-08-2009,Nathan Hernandez,Jamie Johnson,5040,15,E2,75,B1,36,D,46,C2,51,C1
3915,Elizabeth Murray,Male,25-06-2009,Stephen Maynard,Gina Morris,5040,44,C2,11,E2,77,B1,31,D,79,B1
3916,Joshua Lowery,Male,23-04-2009,Larry Davis,Elizabeth Barnes,5040,85,A2,76,B1,27,E1,37,D,23,E1
3917,Stephanie Bush,Male,01-06-2009,Donald Gonzalez,Kelly Russell,5040,61,B2,77,B1,10,E2,34,D,75,B1
3918,Monique Williams,Female,11-12-2009,Jonathan Alexander,Maria Bell,5040,95,A1,72,B1,12,E2,87,A2,30,E1
3919,Mrs. Ashley Hudson MD,Female,24-04-2008,Austin Rivera,Sarah Walton,5040,78,B1,56,C1,34,D,65,B2,36,D
3920,Jonathan Vargas,Female,30-04-2009,Robert Stark,Lauren Nelson,5040,62,B2,58,C1,17,E2,31,D,79,B1
3921,Brian Garcia,Male,14-02-2009,William Williams,Jasmine Wagner,5040,85,A2,12,E2,29,E1,75,B1,11,E2
3922,Lisa Lewis,Female,12-11-2008,Eric Warren,Karen Morris,5040,56,C1,10,E2,87,A2,50,C2,14,E2
3923,Anna Powell,Female,09-09-2009,Scott Clayton,Stacey Sanchez,5040,41,C2,53,C1,27,E1,30,E1,16,E2
3924,Lisa Duncan,Female,23-02-2009,Justin Johnson,Angela Medina,5040,49,C2,88,A2,36,D,81,A2,93,A1
3925,Susan Fields,Female,01-12-2009,Timothy Cochran,Alexis Mccoy,5040,10,E2,82,A2,24,E1,79,B1,46,C2
3926,Tyler Johnson,Female,07-12-2009,Brian Barrett,Brittany Suarez,5040,73,B1,22,E1,36,D,50,C2,10,E2
3927,Susan Carter,Female,01-08-2008,Christopher Herring,Christine Clayton,5040,98,A1,71,B1,43,C2,81,A2,59,C1
3928,Anna Robinson,Male,26-08-2008,Shane Clark,Loretta Thomas,5040,89,A2,22,E1,77,B1,71,B1,26,E1
3929,Shirley Thompson,Female,17-02-2009,Dustin Thornton,Sarah Kim,5040,15,E2,13,E2,41,C2,87,A2,25,E1
3930,Danielle Hodges,Female,18-05-2009,Joshua Carter,Ashley Jones,5040,14,E2,86,A2,28,E1,20,E2,33,D
3931,Dr. Debbie Moore,Male,10-07-2008,Walter Pittman,Amanda Dunn,5040,56,C1,31,D,98,A1,63,B2,21,E1
3932,Hannah Marshall,Female,25-07-2009,Dave Powers,Victoria Moran,5040,65,B2,39,D,20,E2,28,E1,46,C2
3933,Vincent Richardson,Female,01-11-2009,Jeffrey Johnson,Lori Jones,5040,28,E1,85,A2,58,C1,10,E2,45,C2
3934,Cody Johnson,Male,09-11-2009,Nathaniel Robbins,Samantha Chan,5040,89,A2,50,C2,89,A2,71,B1,28,E1
3935,Timothy Bishop,Male,06-06-2009,Michael Gonzalez,Nicole Carpenter,5040,53,C1,24,E1,36,D,27,E1,16,E2
3936,Juan Levy,Female,14-12-2009,Christopher Montgomery,Karina Alvarez,5040,12,E2,10,E2,22,E1,81,A2,11,E2
3937,David Atkinson,Female,20-04-2009,Joseph Smith,Susan Ward,5040,54,C1,77,B1,40,D,15,E2,11,E2
3938,Alan Hall,Male,08-02-2008,Alexander Koch,Heather Welch,5040,97,A1,11,E2,73,B1,28,E1,21,E1
3939,Kelli Juarez,Male,14-01-2009,Eric Johnson,Carmen Hall,5040,25,E1,27,E1,51,C1,60,C1,43,C2
3940,Stephanie Mendoza,Male,19-03-2009,Chad Davis,Mary Wallace,5040,25,E1,58,C1,23,E1,55,C1,42,C2
3941,Russell Mcbride,Male,10-09-2009,Nicholas Wade,Sara Tucker,5040,61,B2,79,B1,53,C1,81,A2,78,B1
3942,David Nelson,Female,22-02-2008,Jared Lewis,Yvonne Hayes PhD,5040,88,A2,84,A2,36,D,35,D,16,E2
3943,Kristi Rodgers,Female,20-04-2009,Logan Wolf,Andrea Kelly,5040,51,C1,52,C1,75,B1,44,C2,36,D
3944,Eric Patterson,Male,25-12-2008,Jason Garcia,Tanya Roth,5040,37,D,81,A2,41,C2,47,C2,51,C1
3945,Jerry Mitchell,Female,12-03-2008,Jason Byrd,Debra Cook,5040,64,B2,20,E2,78,B1,70,B2,86,A2
3946,Kelsey Miranda,Male,01-11-2008,Aaron Adams,Emily Clark MD,5040,60,C1,86,A2,45,C2,33,D,30,E1
3947,Christopher Mcgee,Male,05-03-2009,Brian Khan,Lisa Powers,5040,31,D,88,A2,61,B2,83,A2,98,A1
3948,Julie Khan,Male,04-09-2009,Charles Smith,Michele Griffith,5040,78,B1,19,E2,90,A2,41,C2,50,C2
3949,Michelle Blair,Female,24-04-2008,Jonathan Yang,Theresa Graves,5040,37,D,96,A1,47,C2,55,C1,90,A2
3950,Kevin Harris,Female,17-11-2008,Timothy Evans,Theresa Sheppard,5040,30,E1,60,C1,20,E2,13,E2,30,E1
3951,Thomas Obrien,Male,27-06-2009,David Smith,Joan Cunningham,5040,65,B2,31,D,30,E1,58,C1,91,A1
3952,Jessica Johnson MD,Female,26-11-2008,Christopher Gomez,Susan Hunter,5040,34,D,50,C2,15,E2,50,C2,39,D
3953,Theresa Hernandez,Male,28-01-2008,Brian Wells,Kimberly Rice,5040,15,E2,52,C1,82,A2,80,B1,34,D
3954,Evelyn Garrett,Female,14-05-2008,Charles Nguyen,Angela Bryant,5040,26,E1,76,B1,54,C1,25,E1,28,E1
3955,Cory Bowman,Male,14-04-2008,Jason Schwartz,Jennifer Perez,5040,69,B2,39,D,34,D,48,C2,95,A1
3956,Stephen Wheeler,Female,05-02-2009,Anthony Walker,Michelle Mckinney,5040,47,C2,50,C2,71,B1,29,E1,96,A1
3957,Jamie Finley,Male,01-05-2009,Steven Payne,Patricia Brewer,5040,88,A2,61,B2,24,E1,71,B1,18,E2
3958,Tara Yates,Female,18-04-2009,Michael Foster,Meredith Jennings,5040,43,C2,78,B1,45,C2,50,C2,74,B1
3959,Jennifer Myers,Female,27-06-2008,Antonio Flowers,Jennifer Estrada,5040,25,E1,11,E2,81,A2,72,B1,99,A1
3960,Katelyn Duran,Male,04-04-2009,Tyler Smith,Amanda Smith,5040,45,C2,75,B1,65,B2,46,C2,12,E2
3961,Ernest Avery,Male,08-06-2008,Brandon Lewis,Julia Walker,5040,45,C2,85,A2,28,E1,39,D,41,C2
3962,Whitney Hill,Female,23-01-2008,Preston Dixon,Tina Kennedy,5040,81,A2,53,C1,75,B1,13,E2,26,E1
3963,Ryan Murray,Female,22-08-2009,Austin Cole,Karen Knight,5040,33,D,84,A2,13,E2,98,A1,74,B1
3964,Jason Harris,Male,06-07-2009,Ryan Schultz,Tonya Murphy,5040,19,E2,42,C2,54,C1,54,C1,87,A2
3965,Travis Robinson,Male,21-07-2009,Adrian Goodman,Janet Gallagher,5040,45,C2,67,B2,67,B2,48,C2,49,C2
3966,John Ware,Female,25-04-2009,Bradley Moss,Chloe Edwards,5040,83,A2,19,E2,53,C1,64,B2,91,A1
3967,Mariah Farley,Male,11-11-2008,Michael Cisneros,Jennifer Lee,5040,29,E1,12,E2,28,E1,43,C2,72,B1
3968,Brenda Blair,Female,20-09-2008,Philip Scott,Robin Martinez,5040,33,D,80,B1,81,A2,57,C1,13,E2
3969,Erin Moore,Male,06-09-2009,Matthew Green,Alexis King,5040,32,D,70,B2,99,A1,81,A2,31,D
3970,Charles Williams,Female,03-10-2009,Brian Berg,Tina Mayer,5040,93,A1,52,C1,55,C1,84,A2,54,C1
3971,Randy Taylor,Male,30-01-2008,Peter Chen,Stephanie Davis,5040,73,B1,98,A1,23,E1,69,B2,35,D
3972,Jay Owens,Male,06-02-2009,Dwayne Vaughn,Tracy Mullins,5040,92,A1,77,B1,89,A2,19,E2,23,E1
3973,Diane Casey,Male,17-01-2008,David Johnson,Kelly Gordon,5040,20,E2,99,A1,41,C2,33,D,81,A2
3974,Kenneth Mays,Male,16-08-2008,Jason Johnson,Deborah Watkins,5040,89,A2,91,A1,89,A2,18,E2,73,B1
3975,Elijah Young,Male,02-04-2008,Jose Walker,Lydia Jones,5040,37,D,85,A2,74,B1,78,B1,35,D
3976,Dennis Valdez,Male,28-02-2008,Jeffrey Brown,Amanda Snyder,5040,68,B2,42,C2,13,E2,39,D,22,E1
3977,Jon Lewis,Female,28-09-2008,Eric Dunn,Brenda Massey,5040,11,E2,20,E2,70,B2,77,B1,49,C2
3978,Mark Rodriguez,Male,18-09-2008,Jose Jackson,Laura Rocha,5040,30,E1,38,D,38,D,60,C1,87,A2
3979,Christine Hayden,Male,10-01-2008,Patrick Myers,Mary Davis,5040,20,E2,84,A2,64,B2,19,E2,58,C1
3980,Brian Cohen,Female,04-03-2009,Mr. Michael Mcguire DDS,Kristin Duke,5040,42,C2,94,A1,54,C1,60,C1,18,E2
3981,Zachary Harris,Female,25-11-2009,Christopher Lee,Kayla Caldwell,5040,73,B1,83,A2,52,C1,72,B1,27,E1
3982,Emily Boone,Male,10-03-2008,Michael Jones,Loretta Watson,5040,27,E1,30,E1,64,B2,49,C2,93,A1
3983,William Mason,Female,12-02-2009,Jeremy Buchanan,Hayley Chase,5040,42,C2,67,B2,22,E1,60,C1,81,A2
3984,Robert Holder,Female,30-09-2008,Zachary Kelly,Donna Choi,5040,46,C2,80,B1,31,D,69,B2,14,E2
3985,Joanna Marks,Female,04-09-2009,Christopher Green,Elizabeth Summers,5040,30,E1,86,A2,45,C2,88,A2,89,A2
3986,Daniel Lee,Male,08-12-2008,Chris Obrien,Ashley Conway,5040,52,C1,40,D,85,A2,84,A2,97,A1
3987,Bryan Byrd,Female,31-08-2009,Michael Dodson,Patricia Beasley,5040,20,E2,12,E2,74,B1,97,A1,26,E1
3988,Patrick Mcdowell,Male,24-08-2008,Mr. Bryan Martin,Christina Dalton,5040,96,A1,73,B1,82,A2,20,E2,31,D
3989,Samuel Smith,Male,16-09-2009,Timothy Bryan,Christy Morris,5040,27,E1,88,A2,59,C1,12,E2,28,E1
3990,Kevin Anderson,Male,25-06-2008,Robert Hernandez,Robin Miller,5040,16,E2,58,C1,68,B2,51,C1,38,D
3991,Paul Bennett,Male,12-09-2009,Brian Taylor,Marissa Anderson,5040,90,A2,58,C1,73,B1,29,E1,36,D
3992,Kayla Thomas,Male,18-04-2009,Sean Watson,Stephanie Davis,5040,95,A1,37,D,41,C2,97,A1,80,B1
3993,Kayla Dougherty,Male,26-06-2009,Mark Watson,Jennifer Brooks,5040,41,C2,27,E1,47,C2,78,B1,94,A1
3994,Melissa Arnold,Female,14-01-2008,Todd Thomas,Alison Bauer,5040,77,B1,75,B1,84,A2,80,B1,15,E2
3995,Kristen Rush,Female,23-02-2008,Nicholas Burch,Heidi Gregory,5040,43,C2,12,E2,14,E2,33,D,23,E1
3996,Sandra Davis,Female,23-06-2008,Dale Moon,Sabrina Wright,5040,28,E1,97,A1,19,E2,64,B2,60,C1
3997,Megan Fletcher,Male,25-08-2008,Steven Brown,Kimberly Taylor,5040,91,A1,37,D,89,A2,69,B2,83,A2
3998,Melinda Garcia,Male,20-11-2009,Austin Johnson,Nicole Collins,5040,16,E2,21,E1,53,C1,58,C1,22,E1
3999,Joshua Cook,Male,22-01-2009,Matthew Richardson,Linda Gibson,5040,29,E1,38,D,21,E1,58,C1,18,E2
4000,Jonathan Moore,Female,16-02-2008,Andrew Brown,Miss Meghan Zavala,5040,35,D,97,A1,26,E1,41,C2,94,A1
4001,Leonard Johnson,Male,04-07-2008,Kurt Curtis,Vanessa Booth,5050,38,D,61,B2,38,D,56,C1,67,B2
4002,Shawn Rose,Male,27-12-2009,Roger Kennedy,Robin Mendoza,5050,72,B1,66,B2,36,D,68,B2,27,E1
4003,David Cox MD,Male,29-12-2009,William Roberts,Hayley Green,5050,72,B1,71,B1,83,A2,61,B2,75,B1
4004,Tina Duarte,Female,27-12-2008,Benjamin Andrews,Katie Carter,5050,39,D,48,C2,24,E1,56,C1,70,B2
4005,Nathan Nelson,Female,02-12-2008,Jason Larsen,Emily Nicholson,5050,23,E1,39,D,66,B2,33,D,14,E2
4006,Luis Erickson,Female,29-12-2009,Frank Foley,Cheryl Jones,5050,17,E2,97,A1,72,B1,40,D,74,B1
4007,Mark Bowman,Male,06-12-2008,William Cruz,Frances Castro,5050,13,E2,20,E2,98,A1,10,E2,24,E1
4008,Joyce Brown,Female,07-06-2008,Michael Harris,Pamela Walker,5050,67,B2,35,D,86,A2,45,C2,29,E1
4009,Michael Carey,Male,01-12-2009,John Peters,Tina Lee,5050,87,A2,69,B2,97,A1,72,B1,81,A2
4010,Morgan Reyes,Female,03-06-2008,Earl Durham,Cynthia Chaney,5050,69,B2,65,B2,46,C2,28,E1,77,B1
4011,Peter Caldwell,Female,17-03-2009,Michael Park,Jasmine Tucker,5050,96,A1,62,B2,70,B2,38,D,28,E1
4012,Michele Knapp,Male,01-06-2009,Daniel Smith,Nicole Schultz,5050,74,B1,67,B2,54,C1,82,A2,63,B2
4013,Rebecca Craig,Male,19-05-2008,Ian Avila,Brianna Cooper,5050,29,E1,70,B2,28,E1,89,A2,19,E2
4014,Rebecca Wall,Male,17-12-2009,Douglas Rivas,Taylor Long,5050,96,A1,53,C1,91,A1,94,A1,80,B1
4015,Sabrina Fuentes,Male,17-05-2009,Jacob Hernandez,Sarah Hudson,5050,98,A1,92,A1,89,A2,35,D,99,A1
4016,Kevin Wilson,Female,07-04-2009,Jason Miller,Jamie Evans,5050,37,D,35,D,77,B1,11,E2,96,A1
4017,Jennifer Jones,Male,17-07-2009,Roberto Odonnell,Angelica Cooke,5050,20,E2,78,B1,17,E2,98,A1,13,E2
4018,Charles Ortiz MD,Male,20-04-2008,Malik Wright,Leah Gomez,5050,28,E1,56,C1,38,D,98,A1,87,A2
4019,Dominique Taylor,Male,19-10-2009,Joshua Miller,Jessica Huerta,5050,29,E1,80,B1,17,E2,54,C1,76,B1
4020,Anna Richard,Male,01-04-2008,Michael Carpenter,Amanda Thomas,5050,76,B1,72,B1,99,A1,31,D,62,B2
4021,Ashley Hicks,Male,12-02-2008,Brett Figueroa,Rachel Todd,5050,54,C1,34,D,51,C1,46,C2,40,D
4022,Tiffany Green,Female,21-10-2009,Jeremy Mercado,Janet Avery,5050,97,A1,89,A2,32,D,22,E1,91,A1
4023,Eric Rodriguez,Female,03-08-2009,Kevin Moran,Ashley Moore,5050,90,A2,61,B2,69,B2,22,E1,82,A2
4024,Jason Miller,Female,10-08-2009,Jason Jenkins,Cheyenne Schroeder,5050,74,B1,17,E2,94,A1,79,B1,87,A2
4025,Caitlin Fleming,Male,14-05-2009,David Williams,Laura Williams,5050,92,A1,43,C2,57,C1,68,B2,49,C2
4026,Terry Freeman,Female,02-03-2008,Corey Bates,Maria Mcmahon,5050,29,E1,81,A2,39,D,13,E2,96,A1
4027,Guy Peters,Female,22-12-2009,Jason White,Brittany Grant,5050,91,A1,66,B2,78,B1,61,B2,81,A2
4028,Caitlin Kennedy,Female,19-11-2009,Devon Carney,Susan Adkins,5050,51,C1,88,A2,14,E2,91,A1,28,E1
4029,Sarah Cooper,Female,24-03-2008,Eric Davis,Alexis Benson,5050,32,D,71,B1,90,A2,85,A2,82,A2
4030,Brian Carter,Female,23-02-2008,Douglas Arellano,Kimberly Edwards,5050,42,C2,53,C1,33,D,64,B2,44,C2
4031,William Blackwell,Male,06-05-2008,Erik Flores,Melissa King,5050,97,A1,34,D,97,A1,90,A2,83,A2
4032,Laura Francis,Male,23-07-2008,Larry Ellis,Shannon Anthony,5050,12,E2,83,A2,22,E1,10,E2,88,A2
4033,Tina Garcia,Male,16-01-2008,Matthew Barker,Casey Diaz,5050,96,A1,80,B1,42,C2,14,E2,18,E2
4034,Colleen Cole,Male,22-11-2009,Troy Moore,Rebecca Kim DDS,5050,92,A1,83,A2,22,E1,47,C2,46,C2
4035,Jason Mack,Female,10-12-2008,Keith Vaughan,Shirley Peters,5050,55,C1,25,E1,37,D,69,B2,72,B1
4036,Elijah Daniels,Female,17-07-2009,Sean Rogers,Hannah Horn,5050,33,D,35,D,21,E1,59,C1,81,A2
